"S1A",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"S1B",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"S2A",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"S2B",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"S3A",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"S3B",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"S3C",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"S4A",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"S4B",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"S4C",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"B1A",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"B1B",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"B2A",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
"B2B",,,,,,,,,,,,,,,,0,0,,,,,,,,,,1.00000,,,,0,
